,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0,0.31944444444444453,0.655367231638418,0.0,0.2916666666666666,0.4487179487179488,0.24390243902439027,0.24137931034482757,0.6300578034682189,0.7702702702702697,0.35384615384615403,0.14893617021276606,5
1,0.3749999999999999,0.8587570621468927,0.0,0.5833333333333333,0.7307692307692308,0.5853658536585366,0.5258620689655172,0.5144508670520338,0.3513513513513513,0.5384615384615387,0.2340425531914896,5
2,0.3749999999999999,0.7231638418079097,0.0547945205479452,0.4583333333333332,0.653846153846154,0.3414634146341463,0.41379310344827586,0.5375722543352737,0.432432432432432,0.49230769230769245,0.2340425531914896,5
3,0.847222222222222,0.18079096045197743,0.767123287671233,0.2916666666666666,0.4358974358974359,0.3902439024390244,0.4655172413793104,0.6531791907514588,0.2972972972972978,0.3846153846153847,0.2340425531914896,6
4,0.31944444444444453,0.655367231638418,0.0,0.2916666666666666,0.4487179487179488,0.24390243902439027,0.24137931034482757,0.6300578034682189,0.7702702702702697,0.35384615384615403,0.14893617021276606,5
5,0.31944444444444453,0.6101694915254238,0.0,0.25000000000000006,0.4358974358974359,0.2926829268292683,0.2931034482758621,0.6300578034682189,0.7702702702702697,0.35384615384615403,0.14893617021276606,5
6,0.38888888888888895,0.5423728813559322,0.0821917808219178,0.16666666666666669,0.35897435897435903,0.3414634146341463,0.4568965517241379,0.46820809248555406,0.4864864864864864,0.20000000000000007,0.14893617021276606,5
7,0.30555555555555547,0.5988700564971752,0.0,0.0,0.3076923076923077,0.3414634146341463,0.12931034482758622,0.26011560693642366,0.6081081081081083,0.2153846153846154,0.27659574468085113,7
8,0.3749999999999999,0.519774011299435,0.0273972602739726,0.3333333333333333,0.41025641025641024,0.1951219512195122,0.10344827586206898,0.5144508670520338,0.5675675675675671,0.36923076923076925,0.17021276595744705,7
10,0.22222222222222232,0.519774011299435,0.1095890410958904,0.25000000000000006,0.7179487179487181,0.3414634146341463,0.5086206896551724,0.4104046242774615,0.4594594594594592,0.32307692307692326,0.10638297872340408,5
12,0.06944444444444442,0.5593220338983051,0.0,0.16666666666666669,0.6153846153846154,0.36585365853658536,0.4568965517241379,0.22543352601157096,0.8648648648648645,0.2923076923076924,0.25531914893617014,5
